make,model,year,cluster_seed,count
BMW,730,2022,kit,2
BMW,M8,2020,competition,3
Mercedes-Benz,GTS,2016,amg,1
Mercedes-Benz,GTS,2016,dct,1
Toyota,Prado,2020,ppf,1
Toyota,Prado,2020,txl,3
BMW,X5,2022,xdrive40i,1
Mercedes-Benz,CLA 200,2025,cla,15
Mercedes-Benz,CLA 200,2025,bod,1
Mercedes-Benz,CLA 200,2025,amg,10
Lamborghini,Urus,2024,s,1
Mercedes-Benz,GLC 200,2021,glc,3
Mercedes-Benz,GLC 200,2021,gps,1
Lexus,ES 250,2024,vvt,2
BMW,X3,2021,كت,1
Mercedes-Benz,GLA 200,2023,gla,1
Mercedes-Benz,GLA 200,2023,gps,2
Mercedes-Benz,GLA 200,2023,amg,1
Mercedes-Benz,GLA 200,2023,kit,1
Mercedes-Benz,GLB 200,2022,glb,1
Mercedes-Benz,GLB 250,2022,glb,2
Mercedes-Benz,GLB 250,2022,amg,1
Mercedes-Benz,CLA Class,2023,cla,1
Mercedes-Benz,CLA Class,2023,gps,1
BMW,X4,2023,xdrive,5
Mercedes-Benz,GLB 200 AMG,2022,glb,1
Mercedes-Benz,GLB 200 AMG,2022,amg,1
Lexus,LX 600,2025,vip,5
Lexus,LX 600,2025,off,1
Lamborghini,Aventador,2021,svj,3
Hyundai,Sonata,2022,don,1
Toyota,Land Cruiser,2015,gxr,3
Toyota,Land Cruiser,2015,grx,1
Land Rover,LR4,2015,hse,2
Audi,Q8,2025,tfsi,3
Audi,Q8,2025,aut,2
Audi,Q8,2025,s line,1
Audi,A3,2025,tfsi,4
Toyota,Prado,2021,txl,4
Toyota,Corolla,2025,xli,36
Toyota,Corolla,2025,dis,1
Toyota,Corolla,2025,standard,1
Toyota,Corolla,2025,2 0,1
Toyota,Corolla,2025,ltd,1
Kia,Sportage,2019,gdi,1
Kia,Sportage,2019,mid,2
Mazda,CX-30,2022,gdi,1
Toyota,Prado,2025,txl1,5
Toyota,Urban Cruiser,2024,glx,1
Suzuki,Fronx,2025,glx,3
Suzuki,Fronx,2025,lcd,2
Suzuki,Fronx,2025,per,1
Suzuki,Dzire,2025,glx,16
Mercedes-Benz,CLA 250,2020,amg,1
Ford,Expedition,2023,xlt,4
Porsche,911,2020,turbo,2
Mercedes-Benz,GLS Class,2018,gls,3
Porsche,911 GT3,2024,six,1
Chevrolet,Captiva,2025,ls,1
Chevrolet,Captiva,2025,standard,1
Chevrolet,Captiva,2025,premier,1
Kia,Cerato,2024,gl,1
Kia,Cerato,2024,standard,1
Mitsubishi,Xpander,2024,full,1
Mercedes-Benz,GLB 250,2024,glb,2
Toyota,Urban Cruiser,2025,glx,6
Kia,K3,2024,standard,1
